dt-timestamp(s),dt-accel(m/s2),pt-timestamp(s),pt-accel(m/s2)
45.0,-0.1,19.95,-0.00981
45.0,-0.1,20.049,0.014715
45.0,-0.1,20.147,-0.00981
45.0,-0.1,20.246,-0.052974
45.0,-0.1,20.345,0.014715
45.0,-0.1,20.443,-0.004905
45.0,-0.1,20.542,0.004905
45.0,-0.1,20.641,-0.061803
45.0,-0.1,20.74,0.00981
45.0,-0.1,20.839,0.0
45.0,-0.1,20.937,-0.023544
45.0,-0.1,21.036,-0.01962
45.0,-0.1,21.135,-0.028449
45.0,-0.1,21.273,0.014715
45.0,-0.1,21.333,0.00981
45.0,-0.1,21.438,-0.038259
45.0,-0.1,21.53,-0.00981
45.0,-0.1,21.657,-0.01962
45.0,-0.1,21.728,0.096138
45.0,-0.1,21.827,0.114777
45.0,-0.1,21.925,0.177561
45.0,-0.1,22.025,0.191295
45.0,-0.1,22.123,0.086328
45.0,-0.1,22.222,0.00981
45.0,-0.1,22.32,0.004905
45.0,-0.1,22.419,-0.00981
45.0,-0.1,22.534,0.014715
45.0,-0.1,22.616,0.0
45.0,-0.1,22.715,-0.004905
45.0,-0.1,22.814,-0.00981
45.0,-0.1,22.922,-0.061803
45.0,-0.1,23.012,0.004905
45.0,-0.1,23.111,-0.00981
45.0,-0.1,23.209,-0.014715
45.0,-0.1,23.307,-0.01962
45.0,-0.1,23.407,-0.00981
45.0,-0.1,23.505,-0.01962
45.0,-0.1,23.604,-0.014715
45.0,-0.1,23.704,-0.014715
45.0,-0.1,23.802,-0.00981
45.0,-0.1,23.914,-0.014715
45.0,-0.1,24.0,-0.004905
45.0,-0.1,24.131,-0.014715
45.0,-0.1,24.197,-0.014715
45.0,-0.1,24.296,-0.023544
45.0,-0.1,24.394,0.0
45.0,-0.1,24.504,-0.00981
45.0,-0.1,24.592,-0.023544
45.0,-0.1,24.726,-0.004905
45.0,-0.1,24.789,-0.004905
45.0,-0.1,24.888,-0.00981
45.0,-0.1,24.987,0.004905
45.0,-0.1,25.086,0.0
45.0,-0.1,25.185,-0.033354
45.0,-0.1,25.284,-0.028449
45.0,-0.1,25.382,-0.004905
45.0,-0.1,25.481,-0.00981
45.0,-0.1,25.58,-0.004905
45.0,-0.1,25.679,-0.014715
45.0,-0.1,25.779,0.0
45.0,-0.1,25.876,0.004905
45.0,-0.1,25.975,-0.00981
45.0,-0.1,26.074,-0.004905
45.0,-0.1,26.172,-0.004905
45.0,-0.1,26.271,0.004905
45.0,-0.1,26.37,-0.00981
45.0,-0.1,26.469,-0.00981
45.0,-0.1,26.568,-0.014715
45.0,-0.1,26.666,0.0
45.0,-0.1,26.765,-0.01962
45.0,-0.1,26.864,-0.014715
45.0,-0.1,26.975,-0.014715
45.0,-0.1,27.062,-0.014715
45.0,-0.1,27.161,-0.00981
45.0,-0.1,27.26,-0.01962
45.0,-0.1,27.372,-0.004905
45.0,-0.1,27.458,-0.014715
45.0,-0.1,27.557,-0.00981
45.0,-0.1,27.655,-0.028449
45.0,-0.1,27.754,0.0
45.0,-0.1,27.853,0.0
45.0,-0.1,27.977,-0.01962
45.0,-0.1,28.051,-0.004905
45.0,-0.1,28.15,-0.00981
45.0,-0.1,28.248,-0.01962
45.0,-0.1,28.369,-0.004905
45.0,-0.1,28.446,-0.014715
45.0,-0.1,28.545,-0.014715
45.0,-0.1,28.644,-0.00981
45.0,-0.1,28.752,-0.00981
45.0,-0.1,28.841,-0.00981
45.0,-0.1,28.97,-0.004905
45.0,-0.1,29.039,-0.014715
45.0,-0.1,29.138,-0.014715
45.0,-0.1,29.237,-0.004905
45.0,-0.1,29.336,-0.023544
45.0,-0.1,29.434,-0.01962
45.0,-0.1,29.533,-0.004905
45.0,-0.1,29.632,-0.00981
45.0,-0.1,29.731,-0.023544
45.0,-0.1,29.83,-0.014715
45.0,-0.1,29.928,-0.004905
45.0,-0.1,30.027,-0.004905
45.0,-0.1,30.126,-0.004905
45.0,-0.1,30.226,-0.01962
45.0,-0.1,30.324,0.014715
45.0,-0.1,30.449,0.00981
45.0,-0.1,30.521,0.004905
45.0,-0.1,30.62,0.00981
45.0,-0.1,30.719,-0.014715
45.0,-0.1,30.824,0.0
45.0,-0.1,30.916,0.004905
45.0,-0.1,31.049,-0.028449
45.0,-0.1,31.115,0.0
45.0,-0.1,31.213,0.014715
45.0,-0.1,31.312,0.0
45.0,-0.1,31.424,-0.052974
45.0,-0.1,31.51,-0.033354
45.0,-0.1,31.648,-0.023544
45.0,-0.1,31.707,-0.023544
45.0,-0.1,31.806,-0.028449
45.0,-0.1,31.905,-0.014715
45.0,-0.1,32.021,-0.004905
45.0,-0.1,32.103,-0.00981
45.0,-0.1,32.201,0.004905
45.0,-0.1,32.301,-0.004905
45.0,-0.1,32.399,-0.00981
45.0,-0.1,32.498,-0.00981
45.0,-0.1,32.624,-0.01962
45.0,-0.1,32.696,-0.038259
45.0,-0.1,32.794,-0.014715
45.0,-0.1,32.893,-0.028449
45.0,-0.1,32.991,-0.033354
45.0,-0.1,33.09,0.0
45.0,-0.1,33.189,-0.00981
45.0,-0.1,33.288,-0.004905
45.0,-0.1,33.386,-0.01962
45.0,-0.1,33.485,0.004905
45.0,-0.1,33.584,-0.014715
45.0,-0.1,33.685,-0.00981
45.0,-0.1,33.782,-0.004905
45.0,-0.1,33.909,-0.014715
45.0,-0.1,33.98,-0.00981
