timestamp(s),s1,s2,s3,s4,s5,s6
7580,90,55,170,86,90,10
7590,90,55,170,86,90,10
7600,90,55,170,86,90,10
7610,90,55,170,86,90,10
7620,90,55,170,86,90,10
7630,90,55,170,86,90,10
7640,90,55,170,86,90,10
7650,90,55,170,86,90,10
7660,90,55,170,86,90,10
7670,90,55,170,86,90,10
7680,90,55,170,86,90,10
7690,90,55,170,86,90,10
7700,90,55,170,86,90,10
7710,90,55,170,86,90,10
7720,90,55,170,86,90,10
7730,90,55,170,86,90,10
7740,90,55,170,86,90,10
7750,90,55,170,86,90,10
7760,90,55,170,86,90,10
7770,90,55,170,86,90,10
7780,90,55,170,86,90,10
7790,90,55,170,86,90,10
7800,90,55,170,86,90,10
7810,90,55,170,86,90,10
7820,90,55,170,86,90,10
7830,90,55,170,86,90,10
7840,90,55,170,86,90,10
7850,90,55,170,86,90,10
7860,90,55,170,86,90,10
7870,90,55,170,86,90,10
7880,90,55,170,86,90,10
7890,90,55,170,86,90,10
7900,90,55,170,86,90,10
7910,90,55,170,86,90,10
7920,90,55,170,86,90,10
7930,90,55,170,86,90,10
7940,90,55,170,86,90,10
7950,90,55,170,86,90,10
7960,90,55,170,86,90,10
7970,90,55,170,86,90,10
7980,90,55,170,86,90,10
7990,90,55,170,86,90,10
8000,90,55,170,86,90,10
8010,90,55,170,86,90,10
8020,90,55,170,86,90,10
8030,90,55,170,86,90,10
8040,90,55,170,86,90,10
8050,90,55,170,86,90,10
8060,90,55,170,86,90,10
8070,90,55,170,86,90,10
8080,90,55,170,86,90,10
8090,90,55,170,86,90,10
8100,90,55,170,86,90,10
8110,90,55,170,86,90,10
8120,90,55,170,86,90,10
8130,90,55,170,86,90,10
8140,90,55,170,86,90,10
8150,90,55,170,86,90,10
8160,90,55,170,86,90,10
8170,90,55,170,86,90,10
8180,90,55,170,86,90,10
8190,90,55,170,86,90,10
8200,90,55,170,86,90,10
8210,90,55,170,86,90,10
8220,90,55,170,86,90,10
8230,90,55,170,86,90,10
8240,90,55,170,86,90,10
8250,90,55,170,86,90,10
8260,90,55,170,86,90,10
8270,90,55,170,86,90,10
8280,90,55,170,86,90,10
8290,90,55,170,86,90,10
8300,90,55,170,86,90,10
8310,89.2,55.2,169.3,86,90,10.2
8320,88.4,55.4,168.6,86,90,10.4
8330,87.6,55.6,167.9,86,90,10.6
8340,86.8,55.8,167.2,86,90,10.8
8350,86,56,166.5,86,90,11
8360,85.2,56.2,165.8,86,90,11.2
8370,84.4,56.4,165.1,86,90,11.4
8380,83.6,56.6,164.4,86,90,11.6
8390,82.8,56.8,163.7,86,90,11.8
8400,82,57,163,86,90,12
8410,80.6,57.6,161.8,86,90,12.5
8420,79.2,58.2,160.6,86,90,13
8430,77.8,58.8,159.4,86,90,13.5
8440,76.4,59.4,158.2,86,90,14
8450,75,60,157,86,90,14.5
8460,73.6,60.6,155.8,86,90,15
8470,72.2,61.2,154.6,86,90,15.5
8480,70.8,61.8,153.4,86,90,16
8490,69.4,62.4,152.2,86,90,16.5
8500,68,63,151,86,90,17
8510,66.6,63.5,149.7,86.1,90,17.5
8520,65.2,64,148.4,86.2,90,18
8530,63.8,64.5,147.1,86.3,90,18.5
8540,62.4,65,145.8,86.4,90,19
8550,61,65.5,144.5,86.5,90,19.5
8560,59.6,66,143.2,86.6,90,20
8570,58.2,66.5,141.9,86.7,90,20.5
8580,56.8,67,140.6,86.8,90,21
